Filename,Buggy/Deleted,Fixed/Added
"test2.txt
",-check this,+hai
"test2.txt
",-jebicv,
"test2.txt
",- kjwbfvjens,
,,---------------------------------------------------
Commit_ID: 77208a9eac3c79fad89fd28a5445d8ce3b3a15b0,End of commit,End of commit
"test2.txt
",-check it,+check this
file_name,,+jebicv
file_name,,+ kjwbfvjens
,,---------------------------------------------------
Commit_ID: 0b5d89b5286650c6ed919e2aa47f840eee1731ec,End of commit,End of commit
,,+test this
,,+check it
Commit_ID: c1b7d4a006c35dbda96d44d51e8e915df91f86c1,End of commit,End of commit
"test2.txt
",-hello there,+hello people
"test2.txt
",-how are you,+how are you?
file_name,,+I'm good
,,---------------------------------------------------
Commit_ID: 1a240b3f58e330139a535a79254d0268510288a0,End of commit,End of commit
,,+hello there
,,+how are you
Commit_ID: 01c382c52c3975908b067107fab7c28d436b61bc,End of commit,End of commit
"org.eclipse.jdt.apt.core.prefs
",-eclipse.preferences.version=1,
"org.eclipse.jdt.apt.core.prefs
",-org.eclipse.jdt.apt.aptEnabled=false,
"org.eclipse.jdt.core.prefs
",-eclipse.preferences.version=1,
"org.eclipse.jdt.core.prefs
",-org.eclipse.jdt.core.compiler.codegen.targetPlatform=1.8,
"org.eclipse.jdt.core.prefs
",-org.eclipse.jdt.core.compiler.compliance=1.8,
"org.eclipse.jdt.core.prefs
",-org.eclipse.jdt.core.compiler.problem.enablePreviewFeatures=disabled,
"org.eclipse.jdt.core.prefs
",-org.eclipse.jdt.core.compiler.problem.forbiddenReference=warning,
"org.eclipse.jdt.core.prefs
",-org.eclipse.jdt.core.compiler.problem.reportPreviewFeatures=ignore,
"org.eclipse.jdt.core.prefs
",-org.eclipse.jdt.core.compiler.processAnnotations=disabled,
"org.eclipse.jdt.core.prefs
",-org.eclipse.jdt.core.compiler.release=disabled,
"org.eclipse.jdt.core.prefs
",-org.eclipse.jdt.core.compiler.source=1.8,
"org.eclipse.m2e.core.prefs
",-activeProfiles=,
"org.eclipse.m2e.core.prefs
",-eclipse.preferences.version=1,
"org.eclipse.m2e.core.prefs
",-resolveWorkspaceProjects=true,
"org.eclipse.m2e.core.prefs
",-version=1,
"README.md
",-Very basic calculator application created by Java **Swing**.,+A very basic calculator application created with Java **Swing**.
,,---------------------------------------------------
"README.md
",-Scientific / Simple |  Standard / Colored,+Scientific / Dark |  Standard / Colored
,,---------------------------------------------------
"README.md
",-![Calculator - screenshot](screenshots/simple.PNG) | ![Calculator - screenshot](screenshots/colored.PNG),+![Calculator - screenshot](screenshots/dark.PNG) | ![Calculator - screenshot](screenshots/colored.PNG)
,,---------------------------------------------------
"Calculator.java
","-    private JComboBox<String> comboCalcType, comboTheme ;","+    private JComboBox<String> comboCalcType, comboTheme;"
,,---------------------------------------------------
"Calculator.java
",-               window.getContentPane().setBackground(null);,+                window.getContentPane().setBackground(null);
,,---------------------------------------------------
"Calculator.java
","-                case ""DarkTheme"":","+            case ""DarkTheme"":"
file_name,,"+                final Color primaryDarkColor = new Color(141, 38, 99);"
file_name,,"+                final Color secondaryDarkColor = new Color(171, 171, 171);"
file_name,,+
,,---------------------------------------------------
"Calculator.java
","-                btn0.setBackground(new Color(171,171,171));",+                btn0.setBackground(secondaryDarkColor);
"Calculator.java
","-                btn1.setBackground(new Color(171,171,171));",+                btn1.setBackground(secondaryDarkColor);
"Calculator.java
","-                btn2.setBackground(new Color(171,171,171));",+                btn2.setBackground(secondaryDarkColor);
"Calculator.java
","-                btn3.setBackground(new Color(171,171,171));",+                btn3.setBackground(secondaryDarkColor);
"Calculator.java
","-                btn4.setBackground(new Color(171,171,171));",+                btn4.setBackground(secondaryDarkColor);
"Calculator.java
","-                btn5.setBackground(new Color(171,171,171));",+                btn5.setBackground(secondaryDarkColor);
