Filename,Buggy/Deleted,Fixed/Added
"test2.txt
",-check this,+hai
"test2.txt
",-jebicv,
"test2.txt
",- kjwbfvjens,
,,---------------------------------------------------
Commit_ID: 77208a9eac3c79fad89fd28a5445d8ce3b3a15b0,End of commit,End of commit
"test2.txt
",-check it,+check this
file_name,,+jebicv
file_name,,+ kjwbfvjens
,,---------------------------------------------------
Commit_ID: 0b5d89b5286650c6ed919e2aa47f840eee1731ec,End of commit,End of commit
,,+test this
,,+check it
Commit_ID: c1b7d4a006c35dbda96d44d51e8e915df91f86c1,End of commit,End of commit
"test2.txt
",-hello there,+hello people
"test2.txt
",-how are you,+how are you?
file_name,,+I'm good
,,---------------------------------------------------
Commit_ID: 1a240b3f58e330139a535a79254d0268510288a0,End of commit,End of commit
,,+hello there
,,+how are you
Commit_ID: 01c382c52c3975908b067107fab7c28d436b61bc,End of commit,End of commit
